OP_UNIQUE_CARRIER,total_flights,avg_dep_delay,avg_arr_delay,cancellation_rate,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft,prediction
AA,309761,14.589,8.9787,1.9886,5.8206,0.9904,2.9015,0.0231,7.2385,0
AS,72428,5.548,1.298,1.1018,2.7419,0.4412,2.7333,0.0405,3.5797,0
B6,76909,12.5497,6.145,1.2846,4.4206,0.4276,4.2388,0.0261,6.9681,0
DL,316314,10.7167,4.1942,0.9949,5.7968,0.8833,2.7595,0.0068,4.0068,0
F9,67263,16.0075,11.3162,1.7454,5.8095,0.4825,3.8703,0.0,10.2147,0
HA,26073,6.343,5.8108,1.2618,4.4018,0.532,0.0948,0.0238,3.2398,0
MQ,90260,8.447,5.317,2.9238,2.9954,1.4965,2.9637,0.0166,4.9876,0
NK,71907,9.166,2.3906,1.456,3.1259,0.2843,6.1252,0.0339,3.0337,0
OO,264678,11.6966,7.5909,1.563,7.7829,2.4218,2.6297,0.0195,3.3147,0
UA,250885,9.0385,2.4649,0.7418,3.3541,0.6047,3.795,0.0007,4.4345,0
WN,445560,9.3634,1.7629,1.1626,2.5825,0.2719,1.9392,0.0239,4.7824,0
YX,110524,4.7842,0.6921,2.3389,2.8165,0.5265,3.6655,0.0072,3.3874,0
G4,42997,13.8646,9.5371,0.6884,5.6293,2.0192,4.2291,0.1542,7.4679,1
OH,83894,19.7851,17.1557,6.2138,6.7765,1.5541,3.093,0.0303,11.35,1
