OP_UNIQUE_CARRIER,total_flights,avg_dep_delay,avg_arr_delay,cancellation_rate,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft,on_time_rate,diverted_rate,prediction
AS,72428,5.548,1.298,1.1018,2.7724,0.4461,2.7637,0.041,3.6196,65.0286,0.2748,0
DL,316314,10.7167,4.1942,0.9949,5.855,0.8922,2.7872,0.0068,4.0471,66.3806,0.2099,0
HA,26073,6.343,5.8108,1.2618,4.458,0.5388,0.096,0.0241,3.2812,60.4918,0.1419,0
MQ,90260,8.447,5.317,2.9238,3.0856,1.5416,3.053,0.0171,5.1378,71.1234,0.2271,0
NK,71907,9.166,2.3906,1.456,3.1721,0.2885,6.2157,0.0344,3.0785,69.6246,0.1405,0
UA,250885,9.0385,2.4649,0.7418,3.3791,0.6092,3.8234,0.0007,4.4676,67.9794,0.2356,0
WN,445560,9.3634,1.7629,1.1626,2.6129,0.2751,1.962,0.0242,4.8387,59.1221,0.1787,0
YX,110524,4.7842,0.6921,2.3389,2.8839,0.5391,3.7533,0.0073,3.4686,77.8579,0.1764,0
AA,309761,14.589,8.9787,1.9886,5.9387,1.0105,2.9604,0.0236,7.3854,63.7603,0.2618,1
B6,76909,12.5497,6.145,1.2846,4.4782,0.4331,4.294,0.0264,7.0588,63.4568,0.3134,1
F9,67263,16.0075,11.3162,1.7454,5.9127,0.4911,3.9391,0.0,10.3961,63.8609,0.1844,1
G4,42997,13.8646,9.5371,0.6884,5.6683,2.0332,4.2584,0.1552,7.5196,64.8697,0.2442,1
OH,83894,19.7851,17.1557,6.2138,7.2255,1.6571,3.298,0.0323,12.102,62.5589,0.2444,1
OO,264678,11.6966,7.5909,1.563,7.9065,2.4602,2.6715,0.0198,3.3674,71.9722,0.3208,1
