OP_UNIQUE_CARRIER,hour,p25,p50,p75,p90
AA,0,-7.0,-4.0,1.0,21.0
AA,1,-9.0,-6.0,1.0,11.0
AA,5,-8.0,-5.0,-2.0,11.0
AA,6,-7.0,-5.0,-1.0,11.0
AA,7,-7.0,-4.0,-1.0,15.0
AA,8,-6.0,-3.0,1.0,27.0
AA,9,-6.0,-3.0,3.0,29.0
AA,10,-5.0,-2.0,7.0,38.0
AA,11,-5.0,-2.0,8.0,40.0
AA,12,-5.0,-1.0,12.0,49.0
AA,13,-5.0,-2.0,11.0,48.0
AA,14,-5.0,-1.0,13.0,53.0
AA,15,-5.0,-1.0,17.0,59.0
AA,16,-5.0,-1.0,15.0,58.0
AA,17,-5.0,-1.0,18.0,61.0
AA,18,-5.0,0.0,19.0,63.0
AA,19,-5.0,0.0,22.0,68.0
AA,20,-4.0,0.0,19.0,57.0
AA,21,-4.0,0.0,19.0,58.0
AA,22,-5.0,-2.0,13.0,44.0
AA,23,-6.0,-2.0,6.0,31.0
DL,0,-10.0,-6.0,0.0,23.0
DL,1,-10.0,-7.0,-1.0,25.0
DL,3,-4.0,-3.0,-2.0,-1.0
DL,5,-8.0,-5.0,-1.0,8.0
DL,6,-8.0,-5.0,-1.0,9.0
DL,7,-7.0,-4.0,0.0,14.0
DL,8,-6.0,-4.0,0.0,19.0
DL,9,-6.0,-3.0,3.0,26.0
DL,10,-7.0,-3.0,4.0,30.0
DL,11,-6.0,-3.0,6.0,36.0
DL,12,-6.0,-2.0,8.0,39.0
DL,13,-6.0,-2.0,9.0,44.0
DL,14,-6.0,-2.0,10.0,46.0
DL,15,-5.0,-1.0,13.0,50.0
DL,16,-6.0,-1.0,14.0,51.0
DL,17,-7.0,-2.0,11.0,48.0
DL,18,-6.0,-1.0,16.0,57.0
DL,19,-6.0,-1.0,18.0,65.0
DL,20,-6.0,-1.0,16.0,56.0
DL,21,-6.0,-2.0,12.0,46.0
DL,22,-6.0,-2.0,8.0,39.0
DL,23,-7.0,-3.0,6.0,30.0
UA,0,-7.0,-3.0,3.0,24.0
UA,1,-7.0,-2.0,12.0,48.0
UA,2,-9.0,-7.0,3.0,38.0
UA,5,-8.0,-6.0,-2.0,5.0
UA,6,-8.0,-5.0,-2.0,7.0
UA,7,-8.0,-5.0,-2.0,9.0
UA,8,-7.0,-4.0,-1.0,13.0
UA,9,-6.0,-3.0,3.0,25.0
UA,10,-6.0,-3.0,3.0,27.0
UA,11,-6.0,-2.0,5.0,30.0
UA,12,-6.0,-3.0,4.0,31.0
UA,13,-6.0,-3.0,6.0,35.0
UA,14,-6.0,-2.0,7.0,50.0
UA,15,-6.0,-2.0,9.0,50.0
UA,16,-6.0,-2.0,9.0,53.0
UA,17,-6.0,-2.0,10.0,49.0
UA,18,-6.0,-1.0,11.0,55.0
UA,19,-6.0,-1.0,14.0,54.0
UA,20,-5.0,0.0,18.0,60.0
UA,21,-6.0,-2.0,12.0,49.0
UA,22,-7.0,-3.0,5.0,27.0
UA,23,-8.0,-4.0,3.0,25.0
WN,5,-5.0,-3.0,-1.0,4.0
WN,6,-5.0,-3.0,-1.0,4.0
WN,7,-5.0,-3.0,0.0,7.0
WN,8,-5.0,-2.0,1.0,13.0
WN,9,-5.0,-2.0,3.0,18.0
WN,10,-4.0,-1.0,5.0,21.0
WN,11,-4.0,-1.0,7.0,27.0
WN,12,-4.0,0.0,9.0,31.0
WN,13,-4.0,0.0,11.0,34.0
WN,14,-4.0,0.0,13.0,38.0
WN,15,-4.0,1.0,16.0,44.0
WN,16,-4.0,1.0,16.0,46.0
WN,17,-4.0,2.0,18.0,50.0
WN,18,-4.0,1.0,18.0,49.0
WN,19,-5.0,1.0,19.0,54.0
WN,20,-5.0,1.0,19.0,54.0
WN,21,-4.0,3.0,24.0,63.0
WN,22,-4.0,4.0,27.0,64.0
WN,23,-4.0,-1.0,6.0,19.0
